Blog	four	looking	second	k	reports	brought	music	until	example	want	feature	machine	wrong	easier	series	service	needed	showed	project	person	tech	saying	result	lots	men	country	asked	chrome	much	pro	life	things	had	easy	possible	right	old	support	full	leave	team	alone	along	love	working	such	data	years	course	didn	internet	million	quite	open	city	future	san	turned	say	note	take	sale	ways	link	going	where	photos	former	technology	being	rest	around	world	power	industry	favorite	her	ad	am	having	original	tv	th	large	small	past	hours	november	social	via	company	learn	huge	its	always	found	really	research	major	number	sell	self	also	play	plan	sometimes	cover	set	see	movie	available	whole	community	read	recent	amp	readers	couple	d	continue	senate	anything	line	posted	us	ago	land	came	results	young	try	video	let	great	makes	tools	next	baby	challenge	process	high	move	doing	could	start	system	best	should	hope	means	stuff	email	etc	co	android	off	less	web	government	five	become	does	problem	monday	worth	told	word	work	network	created	another	john	away	com	voice	hand	photo	thanks	night	post	months	way	true	moore	face	test	update	together	p	guy	change	live	car	heard	write	product	still	non	half	space	shows	care	friend	than	online	america	only	between	article	comes	learning	these	media	thinking	real	early	using	business	aren	lot	trying	building	since	month	very	learned	family	ask	site	history	help	soon	actually	event	put	american	behind	clear	pretty	during	x	close	won	probably	else	look	while	guide	ready	game	step	within	doesn	e	youtube	go	facebook	michael	win	started	meet	control	links	including	hands	university	special	times	wikileaks	art	need	able	talk	based	she	both	party	well	lost	page	twitter	home	mdash	he	piece	star	stay	friends	lives	companies	likely	even	tips	ever	never	met	call	tell	room	give	amazing	answer	president	before	personal	better	weeks	went	side	mean	content	isn	features	matter	mind	seem	don	m	stop	bad	decided	said	against	appeared	three	website	make	opportunity	left	yes	yet	potential	save	deal	popular	super	down	drive	digital	billion	finally	me	did	run	box	making	may	man	maybe	nbsp	group	interesting	earlier	thing	think	little	anyone	were	especially	shot	show	black	morning	enough	reading	across	according	mark	those	many	then	different	same	running	money	videos	again	important	u	starting	public	search	published	two	hour	share	needs	through	late	good	someone	everyone	house	hard	members	done	least	part	believe	b	click	build	find	please	fans	point	simple	create	understand	bill	fun	itself	spend	big	bit	google	often	back	per	forward	others	later	private	account	la	ll	day	sexual	text	taking	general	center	thought	latest	add	success	happens	buy	minutes	sleep	under	every	street	would	phone	must	keep	end	over	writing	each	got	free	wanted	days	already	top	too	tom	took	talking	though	watch	amazon	report	however	news	experience	several	pick	election	everything	security	head	donald	longer	focus	roy	cool	level	posts	says	goes	water	iphone	today	local	trump	figure	information	happened	name	turn	place	coming	white	released	r	any	ideas	sure	state	college	review	come	case	events	week	without	seems	blog	idea	wife	follow	program	woman	song	far	list	ten	design	version	known	rather	short	might	wouldn	used	friday	feel	story	store	kind	finding	nothing	his	him	wrote	recently	york	c	became	questions	question	long	called	nice	users	once	include	deals	leaving	apple	app	use	few	women	tax	something	instead	light	looks	related	our	why	thousands	ones	words	view	stories	last	gets	percent	other	smart	know	press	james	because	getting	own	apps	made	whether	book
MichelleMalkin.com	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2
All TPM News	5	1	2	0	2	0	0	1	0	4	0	0	0	0	0	4	0	2	0	2	0	2	0	0	10	6	2	0	2	0	0	1	16	0	1	1	5	6	2	2	0	1	0	0	0	5	5	8	1	1	0	2	0	4	0	1	2	0	4	4	8	0	0	0	4	4	0	6	0	3	0	2	0	10	0	0	24	0	3	2	1	0	4	1	0	2	1	10	0	0	5	0	0	16	1	3	0	0	1	6	0	0	7	0	0	1	0	2	0	0	0	0	1	10	7	1	0	0	2	4	59	2	1	0	3	0	0	5	0	9	0	0	1	0	1	0	1	0	0	2	2	2	4	10	1	0	2	15	0	0	0	0	0	4	0	3	1	0	13	1	2	7	4	33	1	10	0	5	0	0	3	4	1	1	0	0	0	0	0	7	1	2	3	101	4	0	0	0	1	0	0	3	1	1	9	1	1	2	2	0	1	0	2	14	0	1	6	6	0	2	0	3	0	0	0	3	0	0	0	0	2	0	5	2	3	0	3	2	0	2	0	0	0	0	0	5	0	6	0	5	0	1	1	0	1	4	9	0	0	0	9	0	0	0	0	2	0	0	6	0	2	4	0	6	4	0	6	4	6	0	2	0	2	6	27	6	4	5	1	1	2	3	10	63	0	0	1	1	0	0	3	9	0	3	5	0	2	2	0	1	0	0	18	10	0	0	3	2	1	0	0	1	0	2	0	0	1	3	3	1	0	56	21	1	6	1	2	0	4	0	0	3	0	1	0	0	0	0	0	2	0	8	13	4	0	3	4	2	0	5	2	1	2	0	3	0	3	23	1	2	2	4	3	0	0	2	6	0	7	6	2	1	2	1	0	0	1	1	26	0	3	0	1	9	0	1	0	2	0	3	2	0	10	0	6	1	1	2	10	0	0	0	1	0	0	1	0	1	0	4	0	2	0	2	0	0	0	3	0	1	6	1	4	1	0	1	1	10	0	0	8	1	2	3	0	0	0	0	0	1	3	1	0	28	0	1	2	3	9	1	3	0	1	2	2	3	2	1	0	1	1	2	2	0	8	2	3	4	2	1	3	0	1	2	9	1	2	19	0	0	0	7	0	0	0	0	6	36	0	3	0	4	0	4	0	23	2	28	14	0	0	6	0	1	1	3	0	7	3	1	0	0	0	0	0	11	0	4	4	0	0	3	1	1	3	4	0	1	1	0	3	0	0	0	1	62	23	1	1	2	0	0	1	2	5	13	0	0	1	0	0	3	0	0	0	1	14	0	2	1	3	0	0	1	2	1	0	0	2	0	11	0	12	7	0	1	9	1	9	2	1	0	7	6	0
Instapundit	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	6	3	0	0	6	2	3	2	0	0	3	4	2	2	0	0	2	0	0	0	0	2	0	0	3	0	1	0	0	0	0	2	0	2	1	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	0	0	1	2	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	1	0	0	0	2	2	0	2	0	0	0	2	0	0	1	0	2	2	0	0	2	1	0	0	0	0	0	0	0	2	0	0	4	0	1	0	2	0	1	0	0	2	2	0	0	0	0	0	0	0	1	0	2	1	7	0	0	4	0	0	0	0	0	0	0	0	0	8	0	2	1	3	0	0	7	0	2	4	2	3	0	0	6	0	1	0	0	1	2	0	0	0	0	0	0	0	2	2	1	1	1	1	0	0	0	0	4	0	0	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	2	2	0	0	4	0	0	0	1	0	0	1	0	0	1	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	3	2	0	0	3	0	0	0	1	2	9	0	2	1	2	6	0	4	0	1	0	1	0	0	0	6	2	0	0	0	0	1	0	0	0	0	0	1	0	5	2	0	0	0	0	0	0	4	0	1	1	0	3	0	4	2	0	0	3	1	1	0	0	0	0	0	0	0	0	2	2	8	0	0	0	0	0	1	0	0	2	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	4	3	0	0	0	0	2	0	3	0	3	0	4	0	0	0	0	5	0	1	0	0	0	1	0	0	0	6	2	2	0	0	0	0	4	0	0	0	1	2	1	0	0	0	0	2	0	0	0	2	0	1	3	0	0	0	0	0	0	0	12	0	1	3	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	3	0	2	0	14	2	0	0	0	0	0	0	2	0	0	0	0	1	5	0	2	0	0	0	0	2	0	2	1	2	2	1	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	2	2	2	2	1	0	0	4	3	0	2	0	0	0	9	0	0	0	5	2	3	0	2	3	0	1	0	0	8	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	1	3
BuzzMachine	0	2	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	1	2	0	4	0	2	0	1	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	16	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	3	0	3	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	3	0	0	2	0	1	3	0	0	0	0	0	1	2	1	0	4	4	15	0	0	2	1	1	0	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3	0	2	0	0	0	1	0	0	2	0	0	1	3	1	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	1	3	0	0	0	2	1	0	2	0	0	1	0	1	1	0	0	0	0	0	2	0	0	1	0	2	1	1	3	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	18	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0
Techdirt.	3	9	11	0	2	3	4	5	15	15	2	2	7	2	2	4	8	0	2	7	7	2	6	2	0	3	4	0	27	2	0	10	24	1	7	24	9	10	10	0	3	1	4	0	2	18	4	25	6	5	22	2	3	9	2	2	1	1	11	4	9	2	4	10	14	19	0	2	7	26	2	6	9	9	7	0	12	1	3	5	8	0	7	5	7	7	3	3	11	2	22	3	1	49	7	4	12	0	2	7	0	1	22	9	0	4	6	6	14	10	3	3	3	5	8	0	2	4	15	4	5	11	5	2	15	7	0	2	1	4	3	10	6	1	8	0	4	5	7	12	3	7	7	24	3	22	4	38	1	4	5	26	3	2	0	8	9	7	30	5	2	15	8	0	3	4	4	13	7	3	10	2	5	3	0	4	0	3	1	21	7	23	8	0	1	4	4	3	2	1	6	0	2	2	1	1	16	4	1	1	5	2	2	29	18	3	24	6	10	3	0	38	16	5	0	1	10	3	6	4	7	0	13	5	10	2	2	5	7	10	6	1	14	0	6	3	3	11	6	10	2	2	6	5	6	7	18	0	0	9	1	7	16	1	16	11	12	1	2	0	0	7	3	10	1	0	2	11	0	4	17	6	1	12	12	9	1	25	2	1	16	5	14	47	2	3	1	0	0	14	9	45	0	11	17	0	1	2	25	6	2	2	1	12	1	8	2	5	8	3	18	10	5	5	2	2	14	5	9	18	4	14	27	2	8	10	11	0	1	3	7	3	0	5	3	2	19	0	1	2	9	23	12	3	2	13	16	1	8	1	2	1	6	13	10	4	11	28	5	2	11	4	0	8	3	2	5	3	26	22	19	7	15	4	6	8	21	8	10	0	24	5	6	21	1	1	4	12	2	8	12	4	8	5	4	4	11	14	4	1	0	0	6	0	5	7	1	2	5	20	2	10	0	5	5	26	11	9	0	4	5	7	2	3	0	6	4	1	2	5	3	0	1	8	2	0	3	4	3	2	22	10	1	46	14	8	3	6	32	3	6	4	19	3	5	15	4	10	0	2	3	10	3	1	6	6	2	1	4	2	0	8	8	3	1	3	6	0	0	10	4	9	3	0	5	4	2	1	3	12	2	1	1	8	0	3	7	3	40	1	3	8	0	8	8	36	0	12	19	10	13	3	2	7	7	0	2	7	1	2	0	2	5	6	4	6	5	20	1	2	34	7	7	3	12	48	11	4	0	5	6	2	2	3	12	6	2	17	4	3	6	2	12	5	28	4	0	0	14	10	0	2	3	23	24	7	2	4	2	0	7	3	3	39	0	10	1	1	35	5	16	0	13	16	1
Joi Ito's Web	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	2	0	0	0	0	1	2	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	4	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	1	0	3	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	2	0	0	1	0	1	0	0	0	9
Power LinePower Line	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	3	0	0	0	0	0	0
ongoing by Tim Bray	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	2	3	0	1	0	0	6	2	0	4	0	0	1	1	0	1	0	0	0	0	1	1	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	2	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	3	0	1	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	4	0	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	4	0	0	0	0	2	4	0	0	0	0	2	0	0	1	2	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	1	2	2	0	1	0	0	0	0	3	5	1	0	0	0	0	0	1	0	5	0	1	0	1	0	0	1	0	1	0	0	0	0	0	5	0	0	0	0	0	4	0	0	1	0	0	4	4	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	4	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	4	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	1	0	1	2	0	0	0	0	0	2	3	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	2	0	0	3	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	1	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	4	0	1	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	3	0	3	0	0	0	1	0	3	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
ABC News: Investigative Unit	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Viral Garden	5	10	3	1	0	0	6	0	4	34	0	0	4	0	9	5	2	1	4	6	0	4	4	0	0	0	1	0	6	0	2	6	40	2	1	7	2	2	3	4	5	5	4	2	1	8	0	6	3	14	0	0	1	2	0	1	3	2	6	0	7	0	6	20	10	18	0	0	0	21	0	7	4	5	5	2	5	11	25	2	1	1	9	3	5	2	4	0	135	8	13	8	0	11	6	10	10	1	0	5	2	4	10	2	0	7	4	0	22	0	0	1	11	10	4	3	10	6	5	1	0	1	3	0	16	5	0	1	5	0	4	0	8	13	4	7	9	0	0	1	1	2	13	8	4	0	7	16	2	5	3	3	1	0	0	5	5	1	0	0	10	5	6	0	1	3	1	17	4	7	9	1	3	22	2	1	0	2	3	43	7	27	1	0	0	0	2	5	0	0	3	3	0	1	9	2	14	0	3	6	2	1	4	10	8	2	16	2	2	2	2	25	123	4	3	3	30	12	10	14	7	4	3	1	23	5	0	3	12	1	10	3	11	28	4	0	1	0	3	5	0	6	11	12	8	2	8	4	1	1	0	3	2	0	0	14	14	0	1	14	5	0	9	1	0	1	1	1	0	0	8	2	1	0	2	6	0	12	0	7	61	0	0	17	0	0	2	12	0	30	7	19	2	3	10	3	1	11	1	6	6	3	0	11	6	10	4	7	1	8	15	6	0	2	0	2	15	18	2	3	6	13	0	0	3	3	20	0	10	1	1	3	1	1	6	1	2	1	1	0	2	57	13	0	1	4	12	1	4	14	4	5	1	17	32	3	3	36	1	0	5	1	0	5	8	0	2	2	12	25	23	3	16	0	3	0	3	4	0	0	0	3	1	8	4	8	6	4	1	17	14	10	0	0	5	3	5	7	0	2	3	5	9	3	12	6	2	10	13	1	2	7	2	12	8	0	9	20	2	2	9	5	0	0	0	17	17	0	0	4	2	3	11	2	9	4	2	2	1	0	1	10	0	31	0	3	3	5	15	5	5	10	6	12	10	2	4	6	0	10	4	5	0	0	0	1	1	1	9	1	0	0	0	1	0	2	2	0	5	4	9	0	2	0	0	4	0	0	3	4	4	10	2	3	11	0	1	0	8	6	11	1	0	0	8	8	12	5	2	3	48	18	0	16	0	0	0	1	12	2	0	1	1	1	1	5	3	1	0	2	2	1	0	1	2	8	3	7	6	2	0	2	5	0	8	5	2	10	3	3	0	3	1	0	20	26	0	0	9	5	0	1	0	7	21	1	4	1	5	3	12	1	0	19	2	22	0	0	38	6	24	0	8	1	0
